id,app_ym,Org,pro_label,target,sampwt,hit_rule,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,quickmodel_score
1,201901,Org1,product_A,-2,1.15919692,1,42,H,17,2250,w,N,3,U,94.90000057,678,1601,-99000784,31,0,97,26,3,1,706
2,201809,Org1,product_B,1,19.83561437,1,19,Q,17,1650,y,N,1,U,90,586,104,2,-99000576,1,50,2,5,0,613
3,201810,Org1,product_B,0,28.34083432,1,48,H,5,4733,p,N,3,N,81.1000061,751,2000,-99000784,5,0,97,31,3,0,765
4,201810,Org1,product_A,0,28.34083432,0,49,H,20,2700,p,N,0,N,75.40000916,712,102,1,0,0,100,-99000576,1,0,
5,201810,Org1,product_A,1,26.75010784,1,20,P,1,1100,f,_,1,N,88.80000019,,110,7,-99000672,0,-99000712,-99000576,12,0,550
6,201904,Org1,product_A,1,1.00692511,0,34,P,33,800,y,F,0,U,86.90000057,609,904,13,-99000672,0,57,10,1,0,
7,201905,Org1,product_B,0,50.16867897,1,59,H,20,1895,o,M,3,N,82.40000916,681,1205,-99000784,85,0,100,-99000576,4,1,764
8,201902,Org2,product_A,-2,1.00692511,1,48,H,8,3100,g,N,3,N,88.20000076,670,401,-99000784,76,0,100,-99000576,3,1,733
9,201901,Org1,product_A,-2,1.00692511,1,31,Q,4,1658,w,N,1,U,71.90000916,616,211,-99000784,82,0,100,-99000576,12,0,606
10,201809,Org1,product_A,0,28.34083432,1,46,H,46,4050,b,N,2,U,77.30000305,625,1301,0,14,2,43,2,5,0,727
11,201809,Org2,product_B,-2,1.00692511,1,21,P,21,1060,p,N,0,U,67.30000305,649,100,-99000784,-99000672,0,100,-99000576,3,0,647
12,201905,Org2,product_B,1,6.36796579,1,57,H,3,1000,g,F,3,N,79.1000061,567,1511,2,23,2,50,1,4,0,715
13,201812,Org2,product_B,-2,1.00692511,1,26,H,16,1376,k,N,3,N,73,591,601,12,-99000712,0,91,3,7,0,663
14,201812,Org1,product_A,1,3.50515583,1,46,R,1,3729,f,N,2,N,88.20000076,701,1201,22,88,0,100,-99000576,4,0,696
15,201811,Org1,product_B,-2,3.3579534,1,34,H,1,8500,b,M,3,N,98.60000038,641,807,0,92,1,92,60,12,0,696
16,201810,Org2,product_B,1,1.00692511,1,28,R,5,2000,k,N,2,N,86.20000076,694,808,10,62,0,100,-99000576,5,0,719
17,201903,Org2,product_B,1,1.75084295,1,22,R,0,1400,w,N,1,U,75.30000305,723,101,1,0,0,100,-99000576,3,0,685
18,201812,Org1,product_B,0,28.34083432,1,41,H,17,2250,w,N,3,N,73.80000305,712,607,2,0,0,100,-99000576,9,3,743
19,201812,Org1,product_B,-2,1.00692511,0,29,H,1,2659,w,N,2,U,75.30000305,727,900,13,0,0,83,-99000576,7,0,
20,201809,Org2,product_B,0,40.78551151,1,24,P,24,1290,y,F,1,U,91.60000038,660,100,-99000784,-99000672,0,100,-99000576,10,0,605
21,201809,Org2,product_B,1,1.00692511,1,29,R,0,1200,y,B,3,U,89.5,616,508,-99000784,77,0,89,11,8,0,684
22,201901,Org2,product_A,-2,28.34083432,1,48,H,18,2036,y,M,3,N,84,721,1109,-99000784,80,0,100,-99000576,2,1,776
23,201810,Org1,product_A,-2,1.52174935,1,24,H,1,1920,b,N,2,U,86.60000038,657,1303,21,28,1,67,12,7,0,720
24,201902,Org1,product_B,1,1.00692511,1,25,Q,5,1300,"",F,3,U,72.20001221,609,401,35,0,1,50,0,5,0,580
25,201906,Org1,product_B,-2,2.16002448,1,25,H,0,1100,y,M,3,N,91.30000019,,4,-99000784,-99000672,0,-99000712,-99000576,3,0,697
26,201811,Org1,product_B,1,6.33220405,1,20,M,2,900,f,N,0,U,71.70001221,786,108,2,0,0,100,-99000576,2,0,662
27,201904,Org2,product_B,0,48.05144743,1,25,R,1,1600,b,N,3,U,86.20000076,667,503,15,34,0,100,-99000576,24,0,695
28,201810,Org2,product_B,0,28.34083432,1,48,H,22,2400,e,F,3,U,90.5,681,2106,-99000784,21,0,90,-99000712,0,11,745
29,201903,Org1,product_A,0,49.82708516,0,30,H,1,3600,w,N,3,N,92.10000038,657,700,-99000784,38,0,100,-99000576,5,0,
